fishId,fishName,cardSystemId,catalogName,imageFile,match,imagePath,photoUrl
263,Акула гигантская,card_cetorhinus_m,Акула гигантская,cetorhinus_m_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\cetorhinus_m_b.png,/uploads/fish/cetorhinus_m_b.png
250,Акула гренландская полярная,card_somniosus_m,Акула гренландская полярная,somniosus_m_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\somniosus_m_b.png,/uploads/fish/somniosus_m_b.png
268,Акула плащеносная,card_c_anguineus,Акула плащеносная,c_anguineus_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\c_anguineus_b.png,/uploads/fish/c_anguineus_b.png
243,Акула сельдевая атлантическая,card_lamna_n,Акула сельдевая атлантическая,lamna_n_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\lamna_n_b.png,/uploads/fish/lamna_n_b.png
4,Амур белый,card_g_carp,Амур белый,g_carp_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\g_carp_b.png,/uploads/fish/g_carp_b.png
93,Амур белый альбинос,card_g_carp_albino,Амур белый альбинос,g_carp_albino_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\g_carp_albino_b.png,/uploads/fish/g_carp_albino_b.png
72,Амур чёрный,card_b_carp,Амур чёрный,b_carp_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\b_carp_b.png,/uploads/fish/b_carp_b.png
48,Белоглазка,card_wa_bream,Белоглазка,wa_bream_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\wa_bream_b.png,/uploads/fish/wa_bream_b.png
156,Белорыбица,card_wfish,Белорыбица,wfish_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\wfish_b.png,/uploads/fish/wfish_b.png
158,Белуга каспийская,card_beluga,Белуга каспийская,beluga_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\beluga_b.png,/uploads/fish/beluga_b.png
109,Белуга черноморская,card_ch_beluga,Белуга черноморская,ch_beluga_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\ch_beluga_b.png,/uploads/fish/ch_beluga_b.png
230,Бельдюга европейская,card_zoarces_v,Бельдюга европейская,zoarces_v_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\zoarces_v_b.png,/uploads/fish/zoarces_v_b.png
265,Берикс красный,card_alfonsino,Берикс красный,alfonsino_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\alfonsino_b.png,/uploads/fish/alfonsino_b.png
53,Берш,card_barsch,Берш,barsch_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\barsch_b.png,/uploads/fish/barsch_b.png
147,Буффало большеротый,card_buffalo,Буффало большеротый,buffalo_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\buffalo_b.png,/uploads/fish/buffalo_b.png
160,Буффало чёрный,card_bl_buffalo,Буффало черный,bl_buffalo_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\bl_buffalo_b.png,/uploads/fish/bl_buffalo_b.png
187,Валёк,card_valyok,Валек обыкновенный,valyok_b.png,alias,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\valyok_b.png,/uploads/fish/valyok_b.png
27,Вармоус,card_warm,Вармоус,warm_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\warm_b.png,/uploads/fish/warm_b.png
149,Вобла,card_vobla,Вобла,vobla_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\vobla_b.png,/uploads/fish/vobla_b.png
108,Вырезуб,card_vyrezub,Вырезуб,vyrezub_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\vyrezub_b.png,/uploads/fish/vyrezub_b.png
7,Вьюн,card_vjun,Вьюн,vjun_b.png,normalized_exact,C:\Users\danil\Desktop\rr4\RepeatAllFilesCopy\AssetRipper_export_20260621_111439\Assets\Resources\previews\vjun_b.png,/uploads/fish/vjun_b.png
